  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
 -1.5903023E-01-1.4807481E-01-1.3782084E-01-1.2822951E-01-1.1926335E-01 Z  7  50
 -1.1088637E-01-1.0306405E-01-9.5763445E-02-8.8953063E-02-8.2602933E-02 Z  7  51
 -7.6684602E-02-7.1171030E-02-6.6036656E-02-6.1257228E-02-5.6809891E-02 Z  7  52
 -5.2673027E-02-4.8826296E-02-4.5250528E-02-4.1927688E-02-3.8840823E-02 Z  7  53
 -3.5974022E-02-3.3312354E-02-3.0841814E-02-2.8549274E-02-2.6422460E-02 Z  7  54
 -2.4449868E-02-2.2620751E-02-2.0925066E-02-1.9353425E-02-1.7897069E-02 Z  7  55
 -1.6547823E-02-1.5298059E-02-1.4140671E-02-1.3069035E-02-1.2076978E-02 Z  7  56
 -1.1158756E-02-9.5228367E-03-8.1227794E-03-6.9253324E-03-5.9017865E-03 Z  7  57
 -5.0273831E-03-4.2807921E-03-3.6436566E-03-3.1001952E-03-2.6368510E-03 Z  7  58
 -2.2419882E-03-1.9056274E-03-1.6192173E-03-1.3754350E-03-1.1680124E-03 Z  7  59
 -9.9158951E-04-8.4158464E-04-7.1408367E-04-6.0574460E-04-5.1371532E-04 Z  7  60
 -4.3556315E-04-3.6921402E-04-3.1290035E-04-2.6511634E-04-2.2457984E-04 Z  7  61
 -1.9019948E-04-1.6104653E-04-1.3633110E-04-1.1538141E-04-9.7626398E-05 Z  7  62
 -8.2580744E-05-6.9832015E-05-5.9029833E-05-4.9876569E-05-4.2119394E-05 Z  7  63
 -3.5543504E-05-2.9966408E-05-2.5232956E-05-2.1211188E-05-1.7788730E-05 Z  7  64
 -1.4869748E-05                                                         Z  7  65



 THE FOLLOWING DATA IS THE NORMALIZED RADIAL WAVE FUNCTION FOR ORBITAL 210 , OUT TO MESH POINT 321

 210    321          1       -6.6009629E-01 3.0000000E+00 9.9409552E+00

  0.0000000E+00 1.3254791E-05 5.2805153E-05 1.1833242E-04 2.0952102E-04 Z  7   1
  3.2605851E-04 4.6763546E-04 6.3394557E-04 8.2468550E-04 1.0395549E-03 Z  7   2
  1.2782565E-03 1.5404961E-03 1.8259821E-03 2.1344260E-03 2.4655426E-03 Z  7   3
  2.8190485E-03 3.1946646E-03 3.5921135E-03 4.0111211E-03 4.4514150E-03 Z  7   4
  4.9127284E-03 5.3947940E-03 5.8973487E-03 6.4201322E-03 6.9628879E-03 Z  7   5
  7.5253583E-03 8.1072925E-03 8.7084388E-03 9.3285516E-03 9.9673858E-03 Z  7   6
  1.0624697E-02 1.1300248E-02 1.1993799E-02 1.2705117E-02 1.3433969E-02 Z  7   7
  1.4180125E-02 1.4943357E-02 1.5723437E-02 1.6520146E-02 1.7333264E-02 Z  7   8
  1.8162567E-02 1.9868881E-02 2.1637382E-02 2.3466403E-02 2.5354313E-02 Z  7   9
  2.7299510E-02 2.9300431E-02 3.1355537E-02 3.3463333E-02 3.5622343E-02 Z  7  10
  3.7831128E-02 4.0088270E-02 4.2392392E-02 4.4742145E-02 4.7136199E-02 Z  7  11
  4.9573254E-02 5.2052040E-02 5.4571308E-02 5.7129845E-02 5.9726439E-02 Z  7  12
  6.2359948E-02 6.5029189E-02 6.7733072E-02 7.0470482E-02 7.3240340E-02 Z  7  13
  7.6041587E-02 7.8873202E-02 8.1734151E-02 8.4623463E-02 8.7540157E-02 Z  7  14
  9.0483278E-02 9.3451887E-02 9.6445084E-02 9.9461958E-02 1.0250164E-01 Z  7  15
  1.0556327E-01 1.0864601E-01 1.1174901E-01 1.1487148E-01 1.1801264E-01 Z  7  16
  1.2117168E-01 1.2754045E-01 1.3397188E-01 1.4046030E-01 1.4700027E-01 Z  7  17
  1.5358658E-01 1.6021420E-01 1.6687831E-01 1.7357431E-01 1.8029779E-01 Z  7  18
  1.8704447E-01 1.9381028E-01 2.0059130E-01 2.0738377E-01 2.1418415E-01 Z  7  19
  2.2098893E-01 2.2779484E-01 2.3459873E-01 2.4139754E-01 2.4818842E-01 Z  7  20
  2.5496855E-01 2.6173529E-01 2.6848611E-01 2.7521858E-01 2.8193039E-01 Z  7  21
  2.8861928E-01 2.9528317E-01 3.0192009E-01 3.0852804E-01 3.1510529E-01 Z  7  22
  3.2164997E-01 3.2816052E-01 3.3463529E-01 3.4107283E-01 3.4747168E-01 Z  7  23
  3.5383061E-01 3.6014819E-01 3.6642331E-01 3.7265474E-01 3.7884149E-01 Z  7  24
  3.8498247E-01 3.9712337E-01 4.0907049E-01 4.2081764E-01 4.3235937E-01 Z  7  25
  4.4369105E-01 4.5480856E-01 4.6570846E-01 4.7638798E-01 4.8684469E-01 Z  7  26
  4.9707672E-01 5.0708264E-01 5.1686132E-01 5.2641207E-01 5.3573447E-01 Z  7  27
  5.4482859E-01 5.5369455E-01 5.6233281E-01 5.7074398E-01 5.7892913E-01 Z  7  28
  5.8688933E-01 5.9462577E-01 6.0213995E-01 6.0943353E-01 6.1650825E-01 Z  7  29
  6.2336594E-01 6.3000870E-01 6.3643855E-01 6.4265782E-01 6.4866877E-01 Z  7  30
  6.5447390E-01 6.6007566E-01 6.6547662E-01 6.7067933E-01 6.7568672E-01 Z  7  31
  6.8050122E-01 6.8512589E-01 6.8956357E-01 6.9381708E-01 6.9788933E-01 Z  7  32
  7.0178324E-01 7.0904815E-01 7.1563601E-01 7.2157097E-01 7.2687739E-01 Z  7  33
  7.3157942E-01 7.3570120E-01 7.3926669E-01 7.4229950E-01 7.4482280E-01 Z  7  34
  7.4685943E-01 7.4843186E-01 7.4956185E-01 7.5027072E-01 7.5057918E-01 Z  7  35
  7.5050759E-01 7.5007540E-01 7.4930161E-01 7.4820465E-01 7.4680215E-01 Z  7  36
  7.4511141E-01 7.4314892E-01 7.4093050E-01 7.3847157E-01 7.3578686E-01 Z  7  37
  7.3289043E-01 7.2979599E-01 7.2651654E-01 7.2306460E-01 7.1945196E-01 Z  7  38
  7.1569031E-01 7.1179068E-01 7.0776325E-01 7.0361829E-01 6.9936520E-01 Z  7  39
  6.9501328E-01 6.9057125E-01 6.8604738E-01 6.8144959E-01 6.7678559E-01 Z  7  40
  6.7206240E-01 6.6246605E-01 6.5271151E-01 6.4284497E-01 6.3290840E-01 Z  7  41
  6.2293953E-01 6.1297250E-01 6.0303760E-01 5.9316242E-01 5.8337158E-01 Z  7  42
